11	 ,	0.0,0.08333333333333333,9.7,21.216666666666665,22.966666666666665,0.0,3.35,19.825,26.025,35.075,2.175,18.441666666666666,24.991666666666667,26.016666666666666,29.666666666666668,17.05,25.658333333333335,25.908333333333335,24.266666666666666,13.875,13.266666666666667,24.9,23.858333333333334,14.683333333333334,3.591666666666667,2.2916666666666665,4.383333333333334,8.658333333333333,11.541666666666666,11.458333333333334,0.35,4.15,12.716666666666667,14.533333333333333,14.433333333333334,9.35,9.758333333333333,9.525,7.3,4.075,11.9,13.366666666666667,13.416666666666666,12.025,7.491666666666666,7.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0
12	 .	10.754716981132075,25.39622641509434,26.67924528301887,24.0188679245283,14.660377358490566,24.452830188679247,37.22641509433962,35.943396226415096,36.39622641509434,34.9811320754717,19.471698113207548,30.28301886792453,31.037735849056602,34.56603773584906,38.056603773584904,11.773584905660377,25.867924528301888,31.09433962264151,34.075471698113205,32.509433962264154,2.9056603773584904,19.339622641509433,28.32075471698113,21.49056603773585,11.169811320754716,14.037735849056604,15.660377358490566,14.49056603773585,11.943396226415095,9.150943396226415,10.584905660377359,12.377358490566039,12.226415094339623,12.09433962264151,10.320754716981131,12.018867924528301,14.50943396226415,14.90566037735849,14.056603773584905,9.566037735849056,7.245283018867925,14.018867924528301,14.943396226415095,13.566037735849056,10.622641509433961,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
13	 a	10.16,23.48,22.213333333333335,23.713333333333335,5.32,9.606666666666667,7.446666666666666,4.42,29.513333333333332,12.126666666666667,3.16,15.913333333333334,20.8,29.873333333333335,8.586666666666666,22.386666666666667,17.786666666666665,10.08,29.953333333333333,7.446666666666666,20.64666666666667,29.34,22.666666666666668,26.69333333333333,28.02,11.013333333333334,11.013333333333334,9.633333333333333,11.6,11.58,14.02,15.053333333333333,15.053333333333333,15.053333333333333,13.18,8.473333333333333,8.593333333333334,8.146666666666667,8.193333333333333,11.746666666666666,12.88,12.946666666666667,12.853333333333333,12.933333333333334,12.933333333333334,10.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,4.0
14	 c/e	0.1875,8.975,16.86875,18.45625,31.96875,10.4875,22.8875,6.65625,4.5875,19.5875,17.6,22.61875,7.475,2.19375,0.1375,16.6,24.15,13.95,1.10625,0.86875,2.0625,15.325,23.09375,21.70625,27.25,5.85,8.85625,9.1875,9.10625,7.53125,8.3125,12.325,13.80625,13.93125,13.91875,11.9875,11.81875,1.80625,2.39375,11.1875,9.51875,12.98125,13.96875,14.05,13.9375,7.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0
15	 l	0.0,0.0,4.3604651162790695,11.895348837209303,17.476744186046513,0.0,0.9302325581395349,11.476744186046512,15.13953488372093,14.69767441860465,0.3372093023255814,8.209302325581396,14.709302325581396,12.267441860465116,7.058139534883721,6.372093023255814,14.686046511627907,14.255813953488373,11.430232558139535,14.848837209302326,7.930232558139535,14.813953488372093,13.674418604651162,9.36046511627907,6.372093023255814,1.0465116279069768,2.313953488372093,4.406976744186046,6.011627906976744,6.3023255813953485,0.03488372093023256,3.883720930232558,12.744186046511627,14.883720930232558,14.918604651162791,5.883720930232558,5.430232558139535,3.8372093023255816,5.604651162790698,4.232558139534884,12.116279069767442,12.848837209302326,12.767441860465116,11.325581395348838,9.127906976744185,12.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0
16	 i	2.5135135135135136,7.468468468468468,9.621621621621621,10.162162162162161,15.36036036036036,0.0,0.1981981981981982,6.495495495495495,12.225225225225225,16.35135135135135,0.0,0.0,4.099099099099099,12.243243243243244,14.936936936936936,0.0,0.0,6.027027027027027,12.27927927927928,15.333333333333334,0.0,0.0,6.36036036036036,12.054054054054054,21.774774774774773,6.603603603603603,2.7117117117117115,2.1621621621621623,2.765765765765766,2.918918918918919,12.405405405405405,12.90990990990991,12.981981981981981,13.00900900900901,12.972972972972974,3.2882882882882885,2.8468468468468466,2.5495495495495497,2.8468468468468466,4.981981981981982,0.0,0.0,13.333333333333334,14.846846846846846,14.234234234234235,7.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0
17	 p	12.058823529411764,20.470588235294116,12.338235294117647,14.485294117647058,22.735294117647058,7.9411764705882355,23.205882352941178,2.6176470588235294,1.2647058823529411,29.25,6.735294117647059,24.529411764705884,8.558823529411764,8.147058823529411,26.058823529411764,5.352941176470588,25.0,7.661764705882353,5.705882352941177,2.8676470588235294,11.852941176470589,25.544117647058822,11.073529411764707,0.38235294117647056,0.0,9.191176470588236,7.602941176470588,7.3088235294117645,7.176470588235294,9.279411764705882,11.573529411764707,11.970588235294118,11.794117647058824,11.985294117647058,11.852941176470589,12.25,12.676470588235293,12.588235294117647,7.926470588235294,0.8088235294117647,16.0,16.0,15.970588235294118,6.205882352941177,5.044117647058823,9.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,4.0,4.0,2.0
18	 e	0.12,9.526666666666667,15.093333333333334,17.44,29.30666666666667,10.033333333333333,21.69333333333333,2.98,6.24,27.30666666666667,17.85333333333333,22.833333333333332,10.626666666666667,3.92,0.24,15.666666666666666,23.78,9.886666666666667,0.30666666666666664,0.08,2.5733333333333333,16.113333333333333,22.406666666666666,19.273333333333333,19.14666666666667,5.293333333333333,8.453333333333333,8.866666666666667,8.866666666666667,7.333333333333333,7.86,12.16,13.433333333333334,13.586666666666666,13.553333333333333,12.28,12.346666666666666,3.7733333333333334,0.86,10.466666666666667,10.226666666666667,13.34,14.286666666666667,14.4,14.153333333333334,7.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,10.0
19	 f	0.0,5.121495327102804,9.74766355140187,8.607476635514018,14.766355140186915,2.635514018691589,17.149532710280372,2.9626168224299065,0.08411214953271028,0.2616822429906542,8.74766355140187,17.289719626168225,2.878504672897196,0.42990654205607476,0.018691588785046728,5.214953271028038,17.27102803738318,1.97196261682243,0.0,0.0,7.4766355140186915,17.61682242990654,6.429906542056075,0.0,0.0,1.8691588785046729,3.149532710280374,4.308411214953271,3.2803738317757007,4.205607476635514,4.859813084112149,11.037383177570094,12.934579439252337,13.261682242990654,13.261682242990654,9.598130841121495,1.1401869158878504,0.7289719626168224,0.2336448598130841,2.0,14.682242990654206,14.700934579439252,14.710280373831775,0.07476635514018691,0.0,0.0,3.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,11.0
20	 .	1.271356783919598,13.291457286432161,22.954773869346734,22.608040201005025,20.547738693467338,4.115577889447236,27.547738693467338,27.798994974874372,27.78894472361809,35.03517587939699,19.92964824120603,27.798994974874372,27.798994974874372,27.798994974874372,36.120603015075375,21.633165829145728,27.798994974874372,27.798994974874372,27.07035175879397,19.025125628140703,16.190954773869347,27.70854271356784,26.8643216080402,15.21105527638191,2.5326633165829144,7.949748743718593,8.135678391959798,11.030150753768844,11.06030150753769,10.984924623115578,7.055276381909548,12.336683417085426,13.608040201005025,13.638190954773869,13.27638190954774,11.095477386934673,11.4321608040201,11.492462311557789,11.492462311557789,5.577889447236181,13.547738693467336,14.361809045226131,14.346733668341708,12.582914572864322,8.472361809045227,3.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,13.0
