02	3,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5
03	6,1,1,3,4,5,2,0,0,1,0,2,1,1,1,2,1,1,0,1,0,2,4,4,4,4,4,4,4,11
04	2,0,1,2,3,5,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,1,2,10
05	6,2,3,3,2,3,4,2,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,2,2,4,13
06	8,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,10
07	0,8,1,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,5
08	1,2,2,2,3,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,9
09	4,1,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,11
10	11,2,3,3,4,2,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,12
